source,target,weight
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCp_dAUfv8i3LW3zWc24dLaQ,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCIgoiXdIKJyUGmUoH2Lxdzg,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCbNanjFI51cwGqMAb2rOrBw,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCtiHFjFu7d5v2XxHnKFUYig,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCZjm6U576nX8WOiLhmMR3bw,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCat2qkYvqmtDNEmo2PVuhXw,1
UCi2KiZq63sRq8Mfbcp-MelQ,UC1WlJfQmaIskYhP4gmWoamw,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCBlm80VQ4YoV3bUJR_XhkaQ,1
UCi2KiZq63sRq8Mfbcp-MelQ,UC-QOpE7GOxlXcHZ8b7HbQKA,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCVdjCrh4tQoX3haNAZv-n5A,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCPNXmbOBVeC4HS-xemvcPtQ,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCozFYHN0e_-vlQbX3wQGOug,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCQMMuADgqWUOcJpLwHOzC-g,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCrqXyRsg-_hTosURZ-uvoKg,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCGZMgmM92E3njyXNe9-kjAQ,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCxhtlxPV8AYWaNNyU6S9H8Q,1
UCi2KiZq63sRq8Mfbcp-MelQ,UCp_dAUfv8i3LW3zWc24dLaQ,1
UCXl30Y_upRqbti52fmjK4YA,UCTTILH6QCIxbTnEWxwRqs1g,1
UCXl30Y_upRqbti52fmjK4YA,UCOY3XpD9qMCRSA8AA8c4CAw,1
UCXl30Y_upRqbti52fmjK4YA,UCc_F88PzGWtA1OPNUEASulA,1
UCXl30Y_upRqbti52fmjK4YA,UCcFIBN-rtC3d3hXeuN5TfWw,1
UCXl30Y_upRqbti52fmjK4YA,UCkxdJ_yGN2gghOMo2ybQtXQ,1
UCXl30Y_upRqbti52fmjK4YA,UCXVLc8CmAO813ubM-fLvCDw,1
UCXl30Y_upRqbti52fmjK4YA,UCXO1BBohNWXkK9SBDAG2ySg,1
UCXl30Y_upRqbti52fmjK4YA,UCxcoDvP-g2_KTZDmVZtvb3w,1
UCXl30Y_upRqbti52fmjK4YA,UCefAH1MbvADWUjE9WVcB9EQ,1
UCXl30Y_upRqbti52fmjK4YA,UCvcu1kR8xMYy_I1Ty-2mV2Q,1
UCXl30Y_upRqbti52fmjK4YA,UCwEe1RKlEv1UpNWmWYfSh4w,1
UCXl30Y_upRqbti52fmjK4YA,UCbrtvygfRT6QXqWDNrOf-cA,1
UCXl30Y_upRqbti52fmjK4YA,UChT7pzGytNd92Nmvi-zuWog,1
UCXl30Y_upRqbti52fmjK4YA,UCdQAuWwyC99MB7Y02Umj26Q,1
UCXl30Y_upRqbti52fmjK4YA,UCCUmP4PlbwgikVFpYwbtRTg,1
UCRelkU8JiZBytTzebJxaa-w,UCQqetiwzzmRNTM5OWuXarGQ,1
UCRelkU8JiZBytTzebJxaa-w,UCQ_-LPP8JAbfkc-b1Q6NvWw,1
UCRelkU8JiZBytTzebJxaa-w,UC9xr9QvIcDvoZNUX5f-jaZw,1
UCRelkU8JiZBytTzebJxaa-w,UC-hfX8J5JPJ-dfuakzegMLA,1
UCRelkU8JiZBytTzebJxaa-w,UCpIdtvoFHVLGASGB5ySqIEA,1
UCRelkU8JiZBytTzebJxaa-w,UCipetjeiWj4CZB6EbyYziZg,1
UCRelkU8JiZBytTzebJxaa-w,UCiGRBf2RNF0WRKhRVT7zFoA,1
UCRelkU8JiZBytTzebJxaa-w,UCYwpX26TrCxq8TvbKGRYLXA,1
UCRelkU8JiZBytTzebJxaa-w,UChs3tU2BcKOT0CezykvAsGw,1
UCRelkU8JiZBytTzebJxaa-w,UCDPWkUX3sNNaCx-m1dV4glA,1
UCRelkU8JiZBytTzebJxaa-w,UC3qn1yJA5PeW9rkGPatQxiw,1
UCRelkU8JiZBytTzebJxaa-w,UCOLGv5Pf6BF2wFcwUzgcvHg,1
UCRelkU8JiZBytTzebJxaa-w,UCz3gu01bmjNv0DpRq-K3XYg,1
UCRelkU8JiZBytTzebJxaa-w,UCXr8_5WtGeipe4haOoQDgyQ,1
UCRelkU8JiZBytTzebJxaa-w,UC8r11yOugM2NuRfitQOxLLg,1
UCRelkU8JiZBytTzebJxaa-w,UC4wq3DcbfaG6dtCqn8Oyu3w,1
UCRelkU8JiZBytTzebJxaa-w,UCwha8rxULYMVtNwZWeSkE1A,1
UCRelkU8JiZBytTzebJxaa-w,UCwO2SXr0ggzwg6QWWrr01nQ,1
UCRelkU8JiZBytTzebJxaa-w,UCL13XhnRzbGokEkCkEOb0-g,1
UCRelkU8JiZBytTzebJxaa-w,UCUIIIPTVDVHAXqhC_5V6lPA,1
UCRelkU8JiZBytTzebJxaa-w,UCXXh7yg5KUFIWylTiKVEFKQ,1
UCRelkU8JiZBytTzebJxaa-w,UC9vMq1YF-e7C-VO0SHkbUTA,1
UCRelkU8JiZBytTzebJxaa-w,UCErZPJpHmLCsXs8ZWkAUupQ,1
UCRelkU8JiZBytTzebJxaa-w,UCQgYjVngJRfPHDLGB5X6ZjA,1
UCRelkU8JiZBytTzebJxaa-w,UCTwSut16JyAg3mX6LVUNGqA,1
UCRelkU8JiZBytTzebJxaa-w,UCj-LL25XJnjxepPKCc3NGog,1
